xmin,xmax,ymin,ymax,zmin,zmax
56,125,26,89,56,125
51,128,26,108,55,128
54,123,24,97,53,123
54,147,24,124,54,147
51,124,23,96,54,124
53,124,25,96,54,124
55,140,29,124,23,140
56,127,27,105,40,127
61,123,40,121,35,123
56,147,30,130,27,147
55,147,30,130,36,147
56,148,26,130,46,148
55,135,31,141,53,135
51,132,28,109,56,132
58,101,42,152,68,101
51,136,26,132,53,136
51,133,33,129,52,133
56,138,31,122,37,138
37,85,26,115,46,85
34,80,39,132,20,80
32,75,41,139,22,75
28,73,40,146,19,73
27,75,31,141,20,75
23,79,40,141,20,79
26,72,54,133,21,72
25,79,30,149,21,79
38,65,54,113,46,65
29,77,29,183,25,77
34,121,33,133,22,121
45,85,53,181,35,85
36,79,29,183,21,79
37,81,36,136,21,81
39,86,53,137,26,86
35,80,31,136,20,80
39,74,42,139,21,74
45,134,64,182,31,134
53,108,72,112,29,108
40,128,28,125,32,128
45,126,45,91,58,126
43,122,48,115,26,122
41,122,23,129,28,122
43,125,28,130,22,125
47,125,25,123,28,125
39,124,32,127,22,124
49,122,77,122,29,122
50,128,79,118,27,128
46,137,38,109,34,137
48,147,37,126,29,147
48,141,69,129,30,141
47,133,67,133,28,133
38,131,58,123,25,131
39,134,56,134,24,134
49,133,48,126,22,133
56,123,72,121,38,123
37,78,42,128,23,78
45,77,51,133,26,77
43,76,55,145,25,76
29,80,31,136,23,80
24,81,55,139,29,81
34,55,72,108,44,55
25,80,65,146,34,80
38,80,71,111,42,80
43,79,45,138,34,79
44,119,38,117,35,119
48,86,96,132,47,86
37,80,31,148,34,80
42,79,62,133,35,79
41,80,38,124,31,80
45,76,73,128,33,76
61,131,68,180,54,131
70,111,72,110,64,111
57,98,72,110,47,98
57,119,52,109,42,119
52,123,33,108,37,123
52,120,34,109,37,120
51,121,23,107,42,121
57,123,31,107,39,123
48,126,25,108,42,126
52,121,38,108,37,121
63,126,70,122,26,126
51,122,38,108,40,122
62,124,73,110,38,124
53,147,56,101,41,147
61,138,68,135,42,138
73,144,73,97,68,144
57,128,73,107,37,128
67,119,38,97,56,119
57,132,52,112,39,132
58,122,74,104,38,122
61,123,73,121,38,123
55,79,70,110,50,79
43,71,71,143,19,71
28,75,52,135,22,75
25,81,56,135,29,81
32,60,78,127,31,60
26,79,60,149,32,79
42,67,78,140,32,67
43,86,54,132,27,86
37,74,53,145,27,74
42,78,66,134,29,78
45,79,41,134,26,79
45,74,78,138,27,74
60,111,75,114,37,111
56,112,67,116,38,112
55,119,33,116,33,119
50,119,48,132,31,119
54,118,40,123,33,118
58,121,37,126,37,121
52,119,67,129,33,119
56,130,38,112,33,130
56,118,71,127,34,118
58,120,73,116,39,120
56,138,38,112,33,138
55,124,70,116,35,124
53,134,74,138,35,134
63,122,73,116,36,122
65,125,70,116,39,125
27,71,53,149,20,71
24,69,51,149,21,69
26,67,79,146,21,67
25,67,51,150,26,67
35,61,84,139,31,61
27,70,51,162,26,70
35,84,51,148,25,84
46,85,118,154,28,85
36,84,51,179,21,84
38,80,68,145,25,80
48,86,118,151,30,86
43,77,75,145,19,77
26,71,98,146,19,71
48,111,122,184,34,111
47,111,121,186,38,111
46,105,118,180,34,105
48,113,122,190,31,113
50,109,123,181,40,109
50,121,36,136,37,121
48,120,48,144,30,120
41,121,34,141,28,121
48,121,34,132,32,121
43,121,26,144,35,121
43,117,73,145,33,117
61,115,80,140,35,115
42,125,61,142,27,125
53,105,125,154,38,105
41,125,61,142,27,125
55,107,82,135,32,107
42,78,51,144,31,78
24,68,52,145,21,68
26,65,62,136,21,65
23,75,36,148,22,75
28,64,58,130,24,64
27,77,56,163,22,77
27,84,39,184,23,84
30,86,61,154,25,86
26,81,31,188,22,81
27,81,55,137,22,81
29,86,57,137,25,86
29,128,45,136,21,128
28,68,56,136,21,68
31,134,63,175,48,134
34,135,61,175,45,135
34,127,73,182,44,127
33,113,70,141,25,113
32,145,69,132,56,145
32,122,69,102,56,122
31,127,32,132,25,127
41,133,40,119,34,133
30,123,48,127,32,123
34,119,35,118,28,119
29,126,34,131,22,126
29,126,24,137,25,126
41,124,36,129,22,124
41,127,51,119,35,127
37,121,64,129,22,121
29,145,46,111,33,145
38,147,64,110,49,147
33,154,61,114,57,154
34,134,62,139,54,134
28,131,59,120,32,131
35,101,44,152,29,101
28,134,51,143,31,134
36,127,65,132,31,127
29,79,53,135,22,79
23,72,59,138,33,72
23,76,52,149,26,76
23,77,59,138,32,77
23,80,50,178,27,80
23,83,40,180,26,83
27,85,61,154,31,85
23,84,44,177,26,84
23,81,52,140,29,81
27,86,57,138,32,86
24,128,55,139,25,128
24,68,55,143,26,68
25,107,86,181,41,107
25,109,66,185,38,109
25,107,72,181,34,107
31,141,64,146,72,141
30,106,98,188,48,106
27,125,64,148,71,125
30,143,61,135,75,143
31,116,74,103,73,116
30,134,64,103,72,134
24,122,27,144,25,122
23,141,53,103,61,141
25,121,47,134,29,121
24,123,29,137,29,123
25,123,32,136,26,123
26,123,25,134,32,123
33,124,29,135,26,124
24,125,82,102,61,125
30,149,46,100,49,149
25,152,66,114,44,152
30,141,80,97,62,141
25,153,61,138,31,153
32,136,64,109,70,136
30,126,64,120,72,126
25,131,57,138,31,131
34,123,44,152,35,123
26,134,45,138,29,134
23,127,64,136,26,127
25,79,52,133,38,79
24,62,66,146,37,62
25,63,77,124,63,63
25,78,73,184,44,78
27,76,64,121,45,76
37,71,75,151,76,71
25,68,60,147,44,68
27,80,68,133,46,80
40,70,88,114,54,70
36,60,68,122,48,60
30,110,82,173,83,110
39,127,69,129,79,127
33,140,69,135,75,140
36,116,81,103,83,116
36,119,69,102,79,119
41,114,57,100,69,114
30,141,65,102,69,141
29,116,56,98,80,116
30,153,73,113,71,153
30,128,64,105,68,128
43,97,81,135,77,97
27,119,87,101,68,119
29,79,75,111,57,79
25,62,63,140,46,62
24,77,42,183,36,77
24,83,40,177,37,83
26,81,80,179,39,81
25,83,41,185,33,83
25,76,55,164,37,76
27,82,57,152,43,82
26,80,56,148,36,80
27,64,69,147,35,64
39,111,118,184,39,111
33,134,75,167,58,134
39,111,119,189,40,111
44,107,114,183,39,107
40,112,117,190,39,112
28,110,82,174,45,110
34,139,85,133,75,139
31,116,80,103,77,116
45,101,121,171,40,101
29,102,80,128,66,102
31,116,82,103,77,116
26,125,27,139,45,125
24,133,39,131,57,133
25,149,48,139,53,149
27,123,25,145,44,123
27,123,30,125,59,123
27,136,24,136,46,136
35,122,41,135,53,122
33,133,70,126,29,133
32,113,48,125,61,113
42,129,72,124,37,129
30,143,58,121,28,143
27,151,67,118,44,151
24,153,69,128,58,153
25,131,53,136,58,131
36,102,85,153,44,102
25,132,52,132,60,132
31,131,52,135,53,131
26,132,73,126,53,132
27,78,53,143,41,78
34,63,76,150,60,63
29,74,71,118,70,74
36,71,81,117,72,71
29,74,77,181,58,74
38,79,57,115,36,79
46,110,92,174,82,110
38,102,80,113,76,102
38,122,27,112,67,122
44,136,46,107,69,136
39,118,48,112,67,118
39,122,37,112,67,122
39,122,32,112,67,122
40,133,73,122,30,133
39,142,57,112,67,142
39,147,67,112,54,147
39,152,69,115,66,152
40,128,70,113,69,128
44,77,89,110,58,77
29,85,40,186,49,85
45,84,92,184,47,84
29,83,41,190,48,83
38,81,56,178,46,81
52,89,127,151,51,89
43,79,57,138,36,79
44,61,64,139,41,61
52,112,126,179,49,112
49,135,109,181,59,135
52,111,132,191,54,111
50,111,125,187,47,111
47,137,133,160,70,137
48,128,124,189,50,128
46,114,98,195,66,114
54,114,86,114,77,114
52,111,130,181,62,111
52,109,133,166,68,109
52,111,87,180,66,111
52,108,74,156,72,108
40,124,27,142,49,124
45,130,39,146,57,130
45,121,47,146,50,121
40,122,37,180,52,122
46,125,29,146,55,125
46,132,24,146,54,132
47,123,36,138,60,123
49,134,68,122,28,134
46,124,47,106,61,124
52,144,71,119,58,144
45,132,48,147,53,132
44,108,44,174,50,108
45,131,46,147,57,131
45,131,47,134,58,131
49,134,67,119,51,134
46,77,53,143,56,77
47,84,63,188,58,84
29,114,36,191,46,114
41,114,50,174,53,114
42,86,49,122,36,86
61,83,83,124,36,83
53,135,39,160,51,135
48,135,43,170,57,135
60,109,122,189,56,109
63,109,122,185,48,109
50,140,74,170,58,140
59,136,88,188,52,136
60,114,95,192,62,114
60,128,100,178,74,128
50,145,67,131,68,145
56,115,68,128,70,115
65,111,125,169,78,111
62,110,89,121,73,110
54,108,69,108,71,108
57,119,71,111,68,119
57,146,81,103,77,146
49,147,27,112,65,147
52,140,39,111,70,140
50,132,42,115,65,132
49,126,23,103,66,126
49,124,25,104,61,124
44,135,23,104,57,135
49,124,24,109,55,124
51,134,39,119,33,134
56,125,74,108,41,125
57,124,74,126,32,124
53,149,40,123,29,149
50,152,41,128,42,152
57,141,81,102,68,141
50,150,37,138,47,150
56,132,78,104,73,132
50,136,41,140,53,136
54,129,54,180,67,129
57,118,65,177,71,118
53,134,42,180,57,134
61,120,66,112,71,120
56,128,73,109,42,128
51,79,46,109,57,79
41,87,118,192,43,87
62,82,80,184,59,82
67,86,137,182,38,86
47,86,50,135,37,86
59,133,78,187,38,133
66,132,133,182,58,132
63,113,133,194,44,113
63,113,137,190,41,113
77,135,133,170,71,135
79,133,138,167,87,133
62,133,118,191,45,133
60,115,117,193,45,115
61,127,84,153,88,127
59,145,82,154,72,145
64,115,83,152,72,115
75,110,141,179,54,110
66,111,133,182,56,111
65,110,90,109,93,110
81,103,91,168,62,103
78,121,87,154,77,121
63,116,59,107,88,116
58,117,50,165,59,117
53,123,34,99,68,123
64,121,44,100,59,121
61,124,84,100,68,124
69,151,80,178,37,151
71,146,79,177,49,146
59,150,75,138,53,150
59,134,74,150,52,134
62,118,72,106,86,118
63,118,74,181,45,118
77,119,134,179,52,119
82,108,137,188,44,108
35,114,52,186,46,114
64,88,132,181,44,88
36,124,38,146,27,124
27,71,65,141,35,71
45,134,70,185,42,134
45,135,70,184,55,135
53,114,128,193,43,114
54,113,129,188,42,113
48,140,72,172,60,140
58,143,126,143,81,143
46,128,124,190,46,128
51,115,107,193,53,115
58,127,126,150,81,127
55,118,95,127,73,118
50,115,84,131,73,115
56,111,134,181,51,111
56,110,134,179,52,110
58,101,64,110,76,101
53,124,64,114,67,124
55,118,79,113,72,118
42,150,27,141,45,150
50,141,48,121,63,141
45,123,46,140,51,123
44,123,23,167,51,123
44,125,27,135,56,125
43,127,24,141,51,127
43,145,26,135,51,145
49,133,43,122,30,133
45,128,71,112,37,128
53,129,72,111,36,129
40,149,41,135,24,149
45,153,67,151,38,153
45,146,69,136,47,146
45,135,67,139,55,135
46,132,48,180,56,132
46,122,48,151,52,122
48,136,38,180,54,136
69,97,135,151,52,97
48,117,39,119,60,117
48,136,81,132,54,136
40,77,45,132,46,77
45,81,63,136,40,81
55,133,75,182,49,133
66,124,136,172,70,124
62,135,131,161,68,135
62,137,131,166,73,137
61,128,119,185,57,128
60,115,111,191,65,115
61,129,88,134,71,129
60,140,87,128,73,140
59,116,82,158,70,116
61,110,126,168,71,110
57,113,67,115,66,113
60,116,79,114,70,116
50,124,41,134,55,124
51,125,57,115,65,125
50,123,49,117,64,123
46,117,40,127,53,117
49,121,32,115,63,121
51,124,25,119,64,124
49,121,38,115,65,121
56,143,68,114,64,143
60,149,83,113,63,149
56,134,81,113,70,134
59,117,83,115,70,117
55,132,73,121,61,132
71,119,133,186,40,119
75,111,138,193,43,111
71,109,138,189,40,109
68,114,142,190,47,114
69,112,133,192,50,112
75,105,142,178,52,105
75,103,133,167,59,103
82,103,93,166,58,103
81,99,83,165,60,99
82,107,75,166,56,107
82,133,119,151,36,133
82,133,119,151,28,133
80,152,83,151,37,152
77,139,122,152,41,139
77,128,124,152,49,128
72,113,141,179,48,113
83,107,137,154,54,107
80,110,138,175,49,110
45,78,71,140,30,78
48,134,70,165,48,134
52,135,68,163,54,135
49,137,75,162,58,137
59,113,84,154,72,113
57,115,86,107,71,115
53,97,73,113,48,97
53,109,67,112,39,109
46,124,28,118,36,124
46,130,33,115,37,130
46,126,23,115,42,126
46,126,27,117,42,126
45,127,24,116,42,127
47,136,25,122,35,136
40,139,38,128,20,139
57,123,47,119,38,123
57,124,72,120,32,124
52,150,34,126,23,150
47,152,37,135,29,152
46,148,34,135,41,148
55,137,77,110,66,137
48,134,34,146,37,134
51,125,49,114,37,125
48,101,44,152,54,101
47,138,36,134,36,138
48,131,52,117,36,131
57,123,73,121,38,123
48,75,50,112,58,75
55,119,36,121,38,119
59,112,73,117,61,112
50,121,26,125,52,121
54,122,41,117,61,122
61,115,80,122,37,115
52,133,80,122,41,133
93,140,111,184,42,140
65,127,134,191,40,127
66,136,121,190,38,136
103,141,110,180,45,141
111,142,83,161,48,142
64,137,116,190,40,137
64,136,82,193,42,136
89,142,83,180,50,142
89,113,104,180,50,113
92,119,134,187,41,119
92,121,131,184,43,121
92,127,112,170,53,127
93,137,77,169,51,137
98,141,79,178,42,141
93,143,29,182,44,143
96,143,36,183,42,143
87,137,52,180,47,137
89,139,24,182,44,139
90,139,26,183,42,139
58,143,22,183,43,143
88,141,26,184,42,141
95,141,38,184,24,141
98,138,72,183,44,138
103,135,74,146,30,135
96,137,74,183,27,137
99,150,38,180,26,150
95,152,38,186,29,152
96,149,80,183,42,149
93,153,37,186,31,153
95,141,106,186,33,141
94,138,54,181,42,138
65,138,69,187,40,138
92,139,49,187,41,139
100,136,56,165,49,136
92,125,134,187,40,125
95,140,39,187,36,140
107,140,116,164,36,140
67,136,150,190,50,136
91,136,138,188,40,136
107,140,143,178,51,140
116,139,137,167,59,139
67,137,141,190,48,137
65,137,113,192,54,137
106,134,134,176,62,134
89,134,114,167,60,134
92,135,155,182,56,135
89,137,131,187,58,137
91,136,87,183,58,136
110,141,79,171,54,141
93,141,31,177,44,141
105,142,38,174,50,142
95,134,48,174,53,134
87,141,24,176,46,141
95,140,25,176,48,140
93,143,24,176,42,143
88,142,26,176,45,142
108,141,42,176,26,141
101,139,71,177,33,139
110,131,122,168,31,131
108,140,116,177,27,140
108,150,47,176,26,150
106,152,71,177,32,152
107,153,72,177,31,153
106,140,112,178,45,140
90,138,74,187,52,138
90,140,70,184,51,140
102,141,41,186,46,141
100,140,111,176,43,140
93,136,135,176,53,136
103,138,70,177,40,138
90,140,84,171,37,140
68,110,139,193,39,110
94,139,150,190,58,139
65,133,149,194,45,133
64,120,111,196,46,120
103,122,132,187,65,122
89,129,106,189,50,129
91,111,146,194,46,111
90,113,125,191,50,113
92,111,87,191,53,111
93,109,68,190,63,109
95,143,51,183,49,143
87,114,78,188,52,114
93,140,43,187,47,140
96,143,26,184,51,143
93,140,25,185,48,140
93,134,121,192,31,134
93,152,96,190,35,152
101,147,85,188,52,147
92,141,119,190,41,141
92,130,125,192,47,130
89,130,74,191,49,130
91,120,120,193,44,120
92,124,122,192,47,124
92,112,135,193,44,112
93,135,77,185,48,135
68,139,150,188,62,139
62,132,138,190,39,132
65,114,131,196,40,114
90,127,143,183,49,127
89,128,117,180,48,128
92,111,84,185,61,111
91,109,136,189,40,109
76,110,123,189,40,110
91,111,86,189,51,111
92,111,68,189,46,111
98,141,79,161,48,141
92,139,34,175,43,139
92,142,36,183,43,142
92,111,54,188,46,111
94,135,41,181,47,135
92,139,31,185,40,139
91,143,27,184,40,143
92,137,28,184,41,137
92,139,48,178,28,139
93,137,73,181,45,137
91,134,118,181,27,134
94,143,102,163,28,143
92,152,79,186,31,152
91,149,79,170,41,149
91,153,79,188,37,153
91,131,117,186,39,131
92,118,86,188,54,118
90,120,116,191,39,120
91,126,113,188,39,126
91,111,135,187,39,111
91,138,77,187,40,138
96,144,83,172,52,144
99,141,133,187,55,141
68,142,82,191,57,142
106,141,79,170,52,141
94,146,90,171,69,146
92,142,100,156,71,142
93,139,88,182,68,139
108,139,74,161,49,139
102,142,79,169,56,142
118,142,86,160,81,142
94,142,31,167,46,142
111,142,36,167,50,142
93,141,68,183,60,141
90,141,24,166,46,141
97,139,25,165,49,139
96,140,24,167,45,140
88,139,26,166,46,139
110,141,37,167,25,141
111,139,78,167,43,139
107,140,73,158,32,140
110,140,119,164,30,140
111,150,46,172,26,150
110,154,61,172,32,154
117,147,81,172,58,147
110,151,80,167,39,151
110,142,114,172,53,142
92,142,81,173,56,142
91,140,72,176,57,140
98,142,50,177,46,142
99,140,113,171,62,140
104,140,61,167,41,140
96,144,82,185,48,144
92,146,83,186,59,146
106,145,79,164,53,145
91,149,77,164,60,149
91,144,79,156,72,144
94,142,140,159,85,142
93,141,86,146,90,141
94,143,74,159,55,143
95,151,74,160,55,151
109,151,66,148,55,151
93,151,43,160,54,151
109,149,41,161,55,149
93,151,47,159,68,151
96,137,42,142,75,137
100,139,36,144,61,139
114,144,50,144,61,144
94,138,34,155,47,138
113,143,48,155,26,143
107,136,80,147,56,136
114,139,119,155,30,139
113,151,58,153,25,151
112,154,57,156,29,154
114,152,65,150,60,152
109,153,69,160,39,153
109,150,70,150,70,150
98,151,82,163,49,151
95,145,68,167,57,145
89,142,82,166,57,142
94,150,70,164,50,150
100,145,93,164,64,145
107,139,78,155,45,139
62,142,105,194,54,142
102,142,79,189,52,142
90,148,76,187,52,148
88,135,81,186,73,135
63,129,146,190,46,129
66,131,124,190,55,131
68,130,79,190,58,130
93,124,72,185,58,124
96,138,80,182,73,138
97,151,75,171,77,151
88,140,36,186,45,140
98,145,40,185,48,145
67,135,61,189,65,135
91,136,39,181,55,136
88,140,31,188,52,140
90,143,26,187,42,143
88,140,25,188,48,140
99,140,42,187,26,140
103,137,72,186,35,137
114,129,122,160,31,129
99,138,76,187,27,138
104,151,59,187,26,151
91,154,51,187,32,154
98,149,71,184,48,149
97,152,57,187,31,152
116,144,82,157,72,144
97,135,95,188,49,135
89,136,77,189,54,136
65,135,97,191,47,135
91,138,82,190,36,138
100,135,111,187,59,135
91,132,135,189,47,132
89,138,57,187,40,138
90,140,84,188,36,140
70,141,104,191,67,141
71,148,84,178,72,148
67,129,78,181,72,129
67,112,138,193,50,112
68,113,109,191,56,113
77,113,59,191,58,113
72,113,59,190,63,113
89,150,76,175,69,150
94,151,66,174,66,151
88,143,39,180,70,143
93,143,33,156,68,143
72,128,51,190,61,128
91,135,25,188,59,135
90,138,31,189,54,138
89,139,25,185,46,139
88,138,28,189,50,138
90,141,48,184,26,141
92,123,70,187,33,123
96,122,72,136,37,122
95,132,119,189,30,132
90,151,52,189,31,151
91,153,57,166,39,153
93,150,65,163,67,150
91,151,57,189,33,151
96,138,86,137,75,138
90,139,38,194,52,139
66,137,73,193,64,137
64,136,97,194,45,136
68,137,79,193,48,137
91,124,102,187,62,124
88,115,108,190,47,115
89,138,70,188,35,138
96,120,73,136,37,120
93,147,64,155,73,147
88,136,80,148,88,136
90,146,75,151,88,146
111,149,62,145,71,149
88,150,32,149,70,150
106,143,33,152,77,143
88,135,54,145,88,135
95,135,25,135,74,135
102,135,29,134,75,135
95,140,26,135,67,140
91,138,41,158,52,138
114,138,53,150,25,138
118,138,81,141,36,138
97,151,52,149,25,151
91,153,57,149,31,153
114,150,68,149,52,150
91,152,76,149,44,152
116,143,84,150,73,143
109,139,77,164,52,139
91,142,68,178,68,142
89,138,88,178,66,138
90,141,67,178,53,141
96,134,82,151,64,134
90,122,142,151,67,122
89,123,83,155,74,123
68,147,77,140,75,147
93,105,104,134,109,105
92,131,74,128,98,131
72,152,62,145,60,152
100,151,55,145,53,151
92,150,31,145,64,150
95,151,33,145,55,151
92,152,44,141,58,152
94,146,25,136,75,146
91,146,28,136,53,146
95,148,24,136,32,148
91,146,25,134,52,146
92,147,43,135,25,147
94,151,31,142,27,151
92,153,38,147,32,153
114,152,56,139,51,152
93,153,49,142,44,153
109,151,69,142,69,151
92,151,74,146,61,151
91,146,69,152,66,146
87,147,82,154,66,147
91,150,55,158,52,150
92,147,80,143,62,147
104,145,80,146,52,145
92,145,81,131,63,145
91,121,82,112,56,121
92,112,81,176,53,112
89,113,81,161,71,113
89,113,67,163,71,113
93,110,69,124,75,110
72,149,72,126,87,149
67,126,39,123,76,126
92,137,44,94,97,137
62,131,54,162,72,131
93,119,43,109,79,119
92,121,37,113,67,121
92,123,24,117,58,123
93,121,48,111,70,121
92,148,72,94,62,148
92,153,59,128,57,153
101,153,76,106,77,153
91,134,78,144,69,134
67,130,77,132,66,130
67,118,78,154,66,118
91,128,76,182,61,128
90,123,79,133,61,123
90,114,88,140,65,114
92,120,84,117,68,120
92,121,80,112,56,121
90,111,122,181,53,111
91,110,75,184,56,110
92,111,68,180,58,111
91,112,52,180,52,112
94,130,72,171,29,130
91,122,72,176,39,122
91,131,120,167,29,131
98,132,118,158,29,132
94,133,120,161,36,133
93,131,122,150,41,131
92,120,133,166,49,120
95,116,128,184,62,116
93,115,140,183,48,115
92,116,132,182,49,116
91,105,135,176,47,105
94,122,72,171,39,122
90,111,61,185,64,111
91,110,65,182,67,110
90,113,84,162,71,113
96,110,74,153,89,110
91,113,51,184,66,113
95,109,72,160,65,109
93,124,71,164,39,124
92,131,121,168,33,131
90,121,137,158,76,121
92,118,86,183,62,118
67,116,130,184,49,116
92,110,135,167,52,110
92,102,131,168,54,102
94,127,72,161,43,127
90,112,60,173,68,112
89,114,77,161,71,114
94,116,63,124,98,116
91,113,50,182,70,113
92,120,38,97,83,120
93,124,57,118,65,124
93,126,72,124,25,126
92,126,71,130,33,126
95,126,72,118,30,126
93,152,64,101,76,152
93,125,105,182,66,125
92,121,73,184,61,121
91,118,83,184,61,118
92,124,89,181,66,124
94,122,71,116,66,122
92,126,72,130,39,126
95,110,74,103,80,110
95,147,63,88,75,147
92,127,33,86,66,127
101,130,56,79,74,130
68,124,45,169,50,124
92,120,26,87,66,120
94,123,33,86,66,123
90,139,29,115,50,139
95,136,54,128,25,136
92,129,62,113,33,129
93,133,65,129,26,133
93,131,59,169,26,131
98,146,68,132,27,146
99,152,50,137,33,152
95,153,50,138,36,153
94,137,65,125,51,137
93,131,61,183,61,131
93,119,72,183,51,119
94,135,62,144,51,135
95,126,63,116,65,126
92,101,76,165,54,101
92,131,59,118,35,131
93,127,65,124,35,127
104,126,64,109,56,126
106,152,57,130,55,152
94,151,32,125,66,151
96,151,37,127,55,151
66,151,50,162,69,151
94,150,26,122,45,150
95,135,25,107,64,135
95,148,24,119,58,148
94,150,28,115,52,150
102,150,42,127,27,150
116,142,79,142,31,142
100,152,55,130,27,152
98,153,53,137,30,153
102,152,56,127,65,152
101,153,68,143,42,153
101,152,68,123,70,152
94,152,66,148,53,152
65,147,66,128,68,147
67,129,73,138,67,129
93,152,66,148,55,152
94,144,66,133,61,144
92,114,71,136,67,114
95,123,78,105,67,123
60,125,75,112,56,125
94,150,32,125,53,150
97,151,41,130,56,151
91,151,49,120,58,151
94,144,30,98,58,144
95,148,28,107,53,148
99,149,26,93,55,149
101,146,27,100,55,146
116,151,52,126,26,151
120,147,79,132,34,147
117,152,55,121,27,152
116,153,57,132,33,153
120,153,56,110,52,153
117,153,61,137,45,153
116,151,79,120,71,151
115,150,66,145,55,150
107,148,55,126,59,148
90,146,75,152,67,146
101,151,49,148,50,151
110,148,71,120,64,148
104,138,77,146,52,138
114,138,82,125,55,138
104,138,93,108,59,138
93,149,29,123,53,149
58,151,24,129,45,151
52,142,23,106,55,142
57,151,24,120,47,151
54,150,21,134,43,150
58,151,24,106,48,151
92,143,28,136,25,143
91,138,31,117,37,138
91,142,29,134,26,142
93,142,34,145,26,142
90,151,26,135,24,151
90,154,26,138,28,154
93,152,29,130,57,152
61,154,25,140,40,154
93,152,32,129,49,152
92,150,24,148,49,150
92,131,26,126,65,131
87,126,30,154,69,126
91,146,26,156,46,146
92,134,31,131,49,134
92,114,69,136,67,114
67,139,29,121,33,139
94,127,29,121,37,127
55,130,26,112,53,130
60,149,35,120,55,149
92,142,25,123,40,142
96,151,28,162,40,151
96,146,21,126,40,146
90,142,26,109,58,142
111,144,34,131,24,144
101,139,35,111,39,139
102,137,36,122,33,137
115,141,35,145,30,141
108,151,33,135,24,151
105,154,34,141,29,154
108,153,40,113,52,153
61,153,33,145,37,153
109,149,33,122,63,149
104,150,33,147,49,150
58,139,34,126,63,139
90,134,46,152,67,134
61,149,33,148,40,149
60,138,35,129,63,138
104,139,72,146,50,139
112,144,36,111,47,144
101,133,33,112,54,133
56,149,24,111,65,149
54,148,25,120,44,148
54,148,23,113,53,148
57,143,26,121,55,143
92,141,45,127,25,141
91,148,45,116,32,148
92,134,45,130,26,134
93,140,49,169,25,140
92,151,41,131,26,151
90,154,42,133,33,154
92,152,46,130,58,152
64,154,43,142,38,154
91,152,46,120,63,152
68,150,42,142,42,150
62,133,42,182,63,133
67,126,35,183,62,126
65,150,37,182,50,150
65,133,45,135,56,133
94,108,56,171,56,108
67,142,43,121,33,142
93,136,50,123,37,136
53,130,45,111,53,130
57,141,22,108,50,141
57,149,21,106,48,149
58,151,23,123,35,151
85,142,23,129,25,142
86,130,26,111,35,130
91,139,31,129,26,139
91,142,24,140,26,142
58,151,23,131,23,151
83,153,23,138,29,153
91,151,30,94,63,151
84,152,23,142,39,152
97,144,42,113,72,144
82,141,23,144,47,141
84,133,23,131,59,133
82,123,23,156,68,123
59,140,23,147,46,140
86,132,29,116,63,132
83,142,23,121,36,142
93,138,44,124,37,138
93,133,24,111,54,133
56,151,21,162,33,151
58,151,23,127,37,151
92,143,25,130,22,143
92,139,26,119,33,139
96,139,31,129,27,139
93,140,29,140,26,140
57,152,26,161,22,152
89,154,25,140,29,154
96,149,26,117,50,149
89,151,25,143,39,151
100,144,35,111,72,144
89,143,25,149,46,143
90,133,25,130,57,133
87,137,26,162,54,137
58,140,24,180,42,140
90,136,25,132,53,136
91,136,37,135,57,136
92,143,25,123,29,143
97,141,34,134,37,141
95,133,33,111,56,133
58,151,22,129,35,151
95,142,21,128,25,142
95,139,24,111,36,139
94,142,24,128,26,142
99,143,27,145,27,143
92,152,22,134,24,152
94,154,22,163,29,154
95,152,24,108,53,152
93,152,22,143,38,152
99,148,28,118,62,148
93,143,22,162,48,143
92,145,23,121,55,145
88,147,23,154,42,147
93,145,22,179,39,145
90,136,23,134,56,136
90,122,23,135,66,122
93,143,23,125,29,143
110,140,33,134,30,140
52,131,25,111,56,131
88,144,25,134,21,144
91,138,24,119,32,138
91,140,31,130,24,140
89,140,28,141,26,140
89,152,22,137,23,152
88,153,23,139,28,153
88,152,24,142,35,152
88,142,24,151,46,142
64,145,27,150,54,145
87,137,25,156,53,137
90,142,24,165,37,142
91,138,26,137,45,138
88,144,29,124,29,144
89,140,36,134,30,140
103,131,31,111,59,131
99,140,38,134,25,140
104,137,41,135,20,137
105,151,43,147,22,151
101,152,37,136,20,152
102,154,37,141,22,154
114,151,50,127,26,151
100,152,32,149,22,152
114,145,40,125,27,145
95,149,36,162,22,149
91,143,32,131,24,143
89,141,38,140,25,141
98,144,36,176,21,144
100,137,38,137,23,137
99,134,90,134,28,134
102,141,39,157,20,141
110,145,55,135,20,145
54,133,73,122,28,133
99,138,65,132,27,138
102,136,80,145,26,136
101,146,41,134,22,146
100,153,42,140,30,153
103,137,69,97,58,137
95,153,41,149,34,153
95,138,41,151,39,138
97,131,57,111,40,131
89,124,80,139,48,124
97,139,41,150,33,139
97,136,52,134,40,136
89,133,80,135,50,133
99,135,65,125,29,135
104,138,77,128,30,138
100,112,89,102,51,112
107,132,97,147,25,132
105,149,63,136,24,149
100,150,71,138,26,150
100,153,53,144,26,153
100,137,73,146,29,137
93,132,62,128,29,132
99,135,66,136,28,135
105,135,63,133,31,135
90,122,81,135,35,122
102,139,75,132,24,139
105,133,102,135,23,133
108,117,99,108,40,117
107,152,55,146,24,152
106,152,53,147,25,152
116,147,63,142,26,147
107,152,73,161,24,152
